,age,gender,power,prompt,sub_prompt,response_txt,finish_reason
10,18,man,immortality,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, man, immortality","

Ethan is an 18-year-old man with an extraordinary gift: immortality. He has a lean muscular frame and striking sapphire-blue eyes that were often lost in thought. His strong jaw-line gave an air of strength and maturity beyond his years. His wavy, sandy-brown hair and tanned skin bore evidence of his visits to the beach. His superpower made him fearless, yet he remained kind-hearted and humble. Despite being open to new experiences, he was picky with whom he shared his secret with. He was also grounded, with a passion to understand the world and defend those who don't have a voice.",stop
11,18,man,immortality,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, man, immortality","

A young, 18-year-old man with wavy blonde hair, blue eyes and an athletic build, Lucan is a very attractive individual. He has the superpower of immortality, which lets him stay in his current physical state no matter how old he gets or how much time passes. Although he may age, Lucan doesn't experience any physical deterioration. His superhuman abilities also mean that any injury he sustains can regenerate. He has a sincere and thoughtful personality, influenced by his experience of observing centuries of human history. He is passionate about learning and exploring new things, preferring knowledge over power. He is protective and loyal, using his strength to help and defend those in need. Lucan is truly a remarkable man.",stop
12,18,man,telepathy,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, man, telepathy","

He stands 6 feet tall, with a slim and athletic frame, short black hair and intense, azure eyes. His body is covered in several tattoos and sprinkled with freckles. Despite his bravery, he has a soft and gentle demeanor. He’s an ambitious and highly intelligent man, quick with answers and a problem solver.

With his superpower of telepathy, he can read the minds of people and even animals around him. He gains valuable insights from their thoughts. He also has the power to project his thoughts into the minds of others, but he does so gently, only when absolutely necessary. He’s been honing his ability for years and is careful about using it for the good of all.",
13,18,man,telepathy,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, man, telepathy","

He is a slender eighteen-year-old male, with deep brown eyes, alongside his jet black hair. His voice is soft and calm, yet powerful. He shines brightly with a certain wisdom that exceeds the expectations of his young age. His superpower of telepathy is both a blessing and a curse, as he can read and pick up the thoughts and feelings of those around him, though he also has the power to manipulate them as well. He uses his ability to help people, or to help himself get out of tricky situations. He holds a mysterious allure due to his ability and mysterious, yet compassionate, nature.",stop
14,18,man,telepathy,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, man, telepathy","

18-year-old Albert stands 6-foot-2, with olive-tone skin, dark eyes and a strong jaw. His dark hair is usually a little shaggy. Though he's strong, Albert is a gentle soul, a fact that draws people to him.

He may seem like a regular guy, but he possesses a special power: telepathy. Albert can read people's thoughts and emotions, feeling their joy and sadness as if it were his own. He can also manipulate their thoughts, erasing memories and creating illusions.

Though Albert uses his power for the good, it is a heavy burden for him to carry. He often keeps to himself and avoids close connections in an effort to protect both himself and others.",stop
15,18,man,teleport,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, man, teleport","

Myles is a 18-year-old male with the power to teleport. He stands at 5'11"" with an athletic build and short, cropped brown hair. His bright eyes, set against a tanned complexion, exude a keen intelligence. His superhero uniform consists of a black spandex bodysuit with white details that match the white cape flowing behind him. Myles has mastered the art of teleportation, moving himself and others instantaneously to wherever he desires. He is brave and always ready to put his power to use for the greater good. His sense of justice and honor means he never uses his power for personal gain.",stop
16,18,man,teleport,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, man, teleport","

He is 18 years old, tall and thin, with long blond hair and intense blue eyes. His fair skin is always punctuated with a rosy flush of excitement. He can instantly teleport himself to any desired place without warning - used to great advantage in sports games, or to prank his friends with sudden appearances. His superpower often has him daydreaming of far-off places and imagining the thrill of random adventures. His desire for freedom and independence is evident in everything he does. His strength of character is incontestable, pushing a strong call for justice and fairness among his community.",stop
17,18,man,teleport,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, man, teleport","

18-year-old Charles, a young man with the superpower of teleportation, stands tall with his jet black hair and his strong muscular physique. He usually has a calm demeanor; however, when using his superpower, his eyes turn into a brilliant glowing electric blue color. His ability allows him to quickly travel through time and space, taking him (or anyone he chooses) to any place in the world in a matter of moments. He is a master of stealth, able to enter and leave a place without a trace, and can transport himself in or out of any dangerous area in a split second. His power is both a blessing and a curse, as it can give him great freedom but can also leave him feeling exhausted after long trips.",
18,18,man,flight,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, man, flight","

Paul is an 18 year old with an average build and a broad smile, his short dark hair offset with dazzling eyes. Although he looks like an ordinary boy, Paul has an extraordinary ability – the power to fly. He can take off and soar silently through the air. He can reach incredible heights and speeds with ease, soaring up past the clouds, before suddenly stopping and hovering in mid-air. He then surveys the land below and admires the stunning views. Paul is a true wonder, able to use his superpower for both leisure and for the betterment of his community.",stop
19,18,man,flight,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, man, flight","

Meet Barry: a shy 18-year-old man who, over the last few years, has developed the superhuman ability to fly. With his neat, brown hair and delicate features, he exudes an air of innocence. He prefers to dress casually, often sporting jeans and a loose-fitting shirt. He’s never been particularly outspoken, but he’s an excellent listener, taking in every detail when others speak. His superpower has grown with him, and although he doesn’t know the limits of his ability to fly, it brings him a unique sense of freedom when soaring through the sky. He’s a diligent, determined person, but he’s often scared to use his powers - unsure of what the consequences may be.",stop
20,18,man,flight,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, man, flight","

He stands at 6'3"" with a muscular frame and wavy brown hair. His eyes are a piercing shade of blue, contrasting boldly against his tan, toned complexion. He soars through the air with graceful ease, often emitting a powerful, glowing blue light which propels him forward. His movements are precise and measured, able to deftly maneuver around obstacles at incredible speeds. In the air he appears to be almost weightless, but is in fact very strong and has a heroic ability to control his power in any situation. He is an inspiring figure, courageous and determined to use his power for the good of humanity. He is always ready for his next big heroic endeavor.",stop
21,18,woman,invisibility,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, invisibility","

A 18-year-old woman, standing 5'3 and weighing 125lbs, with braided honey-brown hair, olive green eyes, and a carefully polite demeanor. Through genetics, she gains the power of invisibility. Her superpower has the capability to be used in various ways: she can disappear from sight and sometimes cloak others, control the movement of objects, or affect the electromagnetic spectrum. When invisible, her body glows with a faint luminescent hue, making it obvious when she activates her power. Her superpower helps bring justice to those in need and she's determined to use it for good.",stop
22,18,woman,invisibility,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, invisibility","

A eighteen year old woman stands in front of you, seemingly invisible. She has piercing green eyes, dark wavy hair and a slim figure. She is mysterious and captivating. She wears a black hoodie and a silver pendant around her neck. Her superpower of invisibility helps her carry out covert activities with ease. Her superpower also enables her to blend into her environment, giving her a unique increased awareness of her surroundings. She is light-hearted and mischievous, but also brave and loyal. She is courageous and will defend herself no matter the odds. She is in control of her power, using it wisely and sparingly, never taking advantage. She is inquisitive and open-minded, allowing her to find creative solutions to complex problems.",stop
23,18,woman,invisibility,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, invisibility","

Karen is an 18-year-old woman who possesses the superpower of invisibility. She has long, wavy strawberry-blonde hair, grey-green eyes, and a fair complexion. She stands at medium height and has a slender, athletic figure. She usually wears light summery clothes, preferring t-shirts and shorts in bright colours. Although she is still shy and introverted, she has a fierce confidence and a mischievous smile. She always wears small, dark sunglasses since her superpower makes her eyes especially sensitive to light. She is often found alone, exploring her surroundings and discovering the wonders of invisibility.",stop
24,18,woman,read in the thoughts,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, read in the thoughts","

Jane is an 18-year-old woman with bright blue eyes and auburn hair. She stands at 5’4”, thin and very graceful with a heart-shaped face and rounded jaw. She has the superpower of being able to read minds, allowing her to understand what people are thinking. She uses her ability to help people, channel emotions, and protect those around her. This power has grown her confidence and empowered her to do what's right. Jane is intuitive, passionate, and compassionate, always doing what she can to make the world a better place. She knows the hidden underlying causes of the problems of the people she's close with, and tries to understand them. Jane's superpower has given her a greater depth of insight and understanding, affording her a unique position in the world.",stop
25,18,woman,read in the thoughts,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, read in the thoughts","

An 18-year-old girl, she stands at five foot four, with shoulder-length brown hair, hazel eyes and fair skin. Her superpower is the ability to read thoughts, enabling her to know what people are thinking and feeling in any situation. She is sophisticated and kind, with a passion for living life to the fullest. She also has a great sense of humor, and loves to make people laugh. She excels in her studies and enjoys helping others; she is an excellent listener and gives the right advice to those in need. She is always eager to learn new things and loves to explore the world. Above all, she is caring and thoughtful, and uses her superpower to help others.",stop
26,18,woman,read in the thoughts,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, read in the thoughts","

Alice is an 18-year-old woman with an incredible superpower; she can read the thoughts of those around her. She is of average build and height, with light brown hair and blue eyes. She has a friendly demeanour and an inquisitive nature. Despite her power, Alice is humble and sensitive; her empathy for others is what allows her to truly understand them, even if it is difficult for her to accept someone's thoughts when they are negative. Alice has managed to use her power for good, and is always looking out for anyone in need of help.",stop
27,18,woman,turning lead into gold,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, turning lead into gold","

Kenzie is 18 years old and has a complexion like fine ivory. Her long black hair is wild, constantly flying around her in the wind. Her bright eyes are a deep blue and hold a spark of mischief. She is a petite figure, often seen wearing a long brown cloak. She has a gentle spirit and a kind heart but is driven and determined to use her special superpower to make the world a better place. She can turn lead into gold with the touch of her finger, and she uses her newfound wealth to fund charitable causes.

Kenzie has a sunny optimism that helps her stay inspired as she works for the good of all. She is a brave and courageous leader determined to use her superpower to make a positive change. She delights in seeing the benefit of her gifts and remains modest in the face of adoration. Kenzie is a one-of-a-kind superhero with a special talent to change the world.",stop
28,18,woman,turning lead into gold,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, turning lead into gold","

Kate is an eighteen-year old woman with supernatural strength. She stands at 5 foot 7, her figure petite and slender with a hint of curves. Her shoulder length hair is a deep, dark chestnut color and her arresting green eyes sparkle with mischief. She wears a simple outfit - dark jeans and a comfortable t-shirt - and has a delightfully charismatic personality. Her superpower is the ability to turn lead into gold at will; a powerful ability which she uses sparingly and with great caution. Her fearless attitude and knack for problem-solving make her an invaluable friend.",stop
29,18,woman,turning lead into gold,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, turning lead into gold","

This 18-year-old woman has the superpower of transmuting lead into gold. She stands at 5ft 4in, has shoulder length blonde hair, blue eyes, and a pale complexion. Her slender figure is fit and agile, due to her frequent workouts. She usually wears fitted denim jeans, a white t-shirt, and a black leather jacket. She also keeps a sunstone necklace around her neck. Her presence is bright and her smile is infectious. She's a compassionate and selfless person, always helping out those in need. While she possesses immense power, she uses it sparingly and responsibly, never taking advantage of the privilege.",stop
30,18,woman,immortality,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, immortality","

Aurora is an 18-year-old woman with dazzling sapphire eyes and long glossy auburn hair. She is of average height and athletics build, with a pale complexion. Aurora has the power of immortality, meaning, she never ages and never dies. She has lived many lifetimes and experienced a vast array of emotions and unique situations. Despite her age, she demonstrates an old soul and wise demeanour. Aurora is a free spirit and an adventurer, always seeking the next incredible experience. She has a kind and curious nature, and will always strive to help any anyone in need.",stop
31,18,woman,immortality,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, immortality","

Lori is a beautiful 18-year-old woman who exudes a provocative aura. She has bright blue eyes, silky blonde hair, and flawless golden-peach skin. She captivates crowds with her poise and grace. She is a paragon of strength with her herculean power, capable of pushing boulders aside and lifting heavy objects with ease. Her strength is only outmatched by her immortality, allowing her to heal from any wounds in a matter of seconds and out-last her foes on the battlefield. Her presence is awe-inspiring to those who come in contact with her, and her strategic intellect allows her to outwit her enemies.",stop
32,18,woman,immortality,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, immortality","

This 18-year-old woman has an eternally youthful appearance; with glowing golden skin, and glossy waves of golden brown hair cascading freely down her back. She wears an enchanted deep purple cloak over her slender frame, and a pair of golden eyes shine brightly from beneath the hood, emanating a powerful authority. She moves with a grace that belies her agelessness, her every step marked with a power, elegance, and wisdom that she’s accumulated over her countless lifetimes. She speaks with a captivating melodic voice that carries a knowledge born out of experience, and a deep understanding of the balance between life and death. This is the woman, who has been granted the superpower of immortality.",stop
33,18,woman,telepathy,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, telepathy","

Alice is an 18-year-old woman with an attractive, slim frame adorned with a short brunette haircut. She has intense, deep green eyes and a kind but determined smile. She stands tall and is often seen as self-confident. 

Alice has the superpower of telepathy; she can read thoughts and project her own. This can make conversations easier, but it can also be overwhelming to have endless signals and noise in her head. Alice is wise beyond her years and uses her power with thoughtfulness and discretion. Despite her struggles she remains courageous and optimistic, ready to face whatever the future holds.",stop
34,18,woman,telepathy,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, telepathy","

Alice is an 18-year-old woman who has the superpower of telepathy. She stands at 5'6 tall and she's slim with long, wild brown hair and prominent scattered freckles. Her presence is strong and confident, yet she exudes a gentle vulnerability and radiates sincerity. Her eyes are a warm shade of hazel that seem to reflect the compassion and wisdom held within. She wears a variety of free-flowing, colourful clothing complemented with a plethora of trinkets and accessories. Her superpower allows her to detect people's thoughts and intentions and decipher them from their spoken words. This power proves highly beneficial in her work as a social worker, although she has to be careful to control her thoughts, lest they be heard or felt by others.",stop
35,18,woman,telepathy,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of telepathy. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, telepathy","

This 18 year-old woman is a mysterious and powerful character. She has the special ability to read minds and communicate telepathically with others. Her hair is a glossy brown cascading down her shoulders, and her eyes are an intense blue. She wears a black and grey outfit that perfectly accentuates her slim figure. She moves confidently and gracefully, almost like floating. People around her feel a sense of calm yet also of dread. When she's around, everyone knows who's in charge. She's smart, fierce and unyielding in her quest for justice. Her superpower enables her to read people's thoughts and intentions, which gives her an edge in any situation.",stop
36,18,woman,teleport,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, teleport","

Aubrey is an eighteen year old brunette with mesmerizing dark eyes and striking features. She has the superpower to teleport, allowing her to travel instantly to any chosen destination. Her clothing usually consists of dark, strategically tailored pieces often black in color, with more stylish, vibrant accents to display her power and confidence. She is always a step ahead, which makes her a force to be reckoned with. Her ability to teleport grants a sense of freedom, which she often has a hard time putting words towards. Despite this, her natural charisma and mysterious aura have made her very popular with both her peers and those much older.",stop
37,18,woman,teleport,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, teleport","

She stands 5’4”, with a stocky physique, brown eyes, and light brown hair that falls past her shoulders. Her casual wardrobe consists of ripped jeans, band t-shirts, combat boots and an oversized Army jacket. When she accesses her superpower of teleportation, she leaves behind a glowing mist of color that follows her as she moves. She can traverse any distance within seconds and carries with her a confidence that comes as a result of such a vital power. Her superpower is both a blessing and a curse, giving her a freedom to go anywhere she pleases and yet simultaneously trapping her in a lonely existence, unable to connect with those around her.",stop
38,18,woman,teleport,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of teleport. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, teleport","

This woman is 18 years old, a stark contrast to her powerful superpower. With bright green eyes, a pale complexion and light brown wavy hair complimenting her youthful face, she presents an aura of innocence. She stands at 5'4"" and her slender figure is often clothed in simple but stylish outfits. Her ability to teleport allows her to move at huge speeds and traverse great distances in milliseconds. With her superpower, she has become a beacon of light in her community that rallies together to fight injustice. It's an inspiring sight to see her surrounded by a group of people while teleporting with a sparkle of determination in her eyes.",stop
39,18,woman,flight,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, flight","

Kate is an 18-year-old woman of average height, with long dark hair and teal eyes. There is an aura of child-like innocence about her, but she is fiercely independent. She's a master of self-reliance and, perhaps due to her superpower, is quick to come to terms with her lot in life. She can fly, of course, and when she does, it's with grace and power, her shirt billowing around her as she swiftly passes through the air. She loves to explore new places and experience the world from a bird's-eye view. With her extraordinary power, she is always learning and seeking out new adventures.",stop
40,18,woman,flight,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, flight","

Ashley is a 18-year-old woman, with a tall and slender figure. Her hair is long and wavy, with brown and blonde highlights. She has a light complexion, and her blue eyes sparkle with determination and confidence. She is always friendly and approachable, but she's also fearless, determined, and resilient. Her superpower of flight provides Ashley with an immense sense of freedom and control, allowing her to explore new heights and venture into the unknown. Her special ability makes her passionate and daring, eager to seize new opportunities and adventures. She can be found in mid-air with a bright smile, feeling the wind in her hair. Ashley's superpower allows her to make the world a better place, along with the courage and resilience to do it.",stop
41,18,woman,flight,Imagine a complete and detailed description of a 18-year-old woman fictional character who has the superpower of flight. Write out the entire description in a maximum of 100 words in great detail:,"18, woman, flight","

Anika stands at 5’5”, with a slender figure and olive skin. Her renowned superpower is of flight. She doesn’t seem to waste her energy on trivial tasks, her piercing eyes and strong curved brows depicting her serious nature. Her raven hair is cut in a blunt bob, just touching the tips of her collarbones and resting on the sides of her smooth cheekbones. Rather than flying through the air, Anika seems to glide, her effortless motions making her gifted ability appear effortless and magical. Even in the still of the night, she’s majestic, a queen ruling over the silent realm.",stop
42,20,man,invisibility,Imagine a complete and detailed description of a 20-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"20, man, invisibility","

A 20-year-old man stands before you, unseen to the naked eye. With the superpower of invisibility, he is able to move through life unnoticed. His slim frame appears in the light but fades into the shadows as darkness encroaches. He is agile and quick; his movements delicately calculated for precision and speed. His dark, unruly hair dances across his forehead, almost like an aura from his superpower. His deep brown eyes contort with curiosity and knowledge, always looking for opportunity and adventure. He fights for what is right, using his skill to blend into the background to more efficiently reach his goals. He stands tall, intangible, never letting anything stop him from his objectives.",stop
43,20,man,invisibility,Imagine a complete and detailed description of a 20-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"20, man, invisibility","

Jim, a 20-year-old man, stands tall and confident. His dark blonde hair is slicked back to reveal a strong, square jawline. He wears a black leather duster, dark jeans, and combat boots. His hazel eyes gleam with determination. His superpower of invisibility allows him to make himself seen, or hidden, at will. He can use this to enter places he was not invited to, or to escape from areas with ease and speed. He’s smart and can use his power to stay safe, as well as help others in need. People may not believe in him,but he knows he can be the hero they need—invisible or not.",stop
44,20,man,invisibility,Imagine a complete and detailed description of a 20-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"20, man, invisibility","

Sitting with his arms and lean legs crossed, we can see the 20 year old man with an aura of mystery. His dark eyes sparkle, shining brighter as he focuses his power of invisibility. His dark brown hair is combed, neat and parted in the center to show off his strong jaw, and his muscled body is defined with a chiseled silhouette. His wardrobe is typically a slim fit t-shirt, jeans with holes and rips, and a leather jacket to complete the look. He is a man who knows exactly who he is and never shy's away from a challenge. His superpower of invisibility allows him to take on any task, as he knows no one can ever see him.",stop
45,20,man,read in the thoughts,Imagine a complete and detailed description of a 20-year-old man fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"20, man, read in the thoughts","

He stands at 5'9"" with a slim build, his alabaster skin and striking blue eyes framed by his black curly hair always draw people in. He has a natural ability to read people's thoughts, using it to understand them better. His charm and intelligence gives him the perfect edge to diffuse any hostile situation. Though he's been careful to keep his special ability a secret, he takes solace in the small comforts of being able to decipher even the most unfathomable struggles. He uses his superpower wisely and with great compassion, proving himself to be a compassionate and empathetic friend.",stop
46,20,man,read in the thoughts,Imagine a complete and detailed description of a 20-year-old man fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"20, man, read in the thoughts","

He stands at 6'2 with sandy blonde hair, striking blue eyes and a strong physique. He likes to dress casually in denim jeans and plaid, short-sleeve shirts. He is inquisitive in nature and loves learning new things.

He is gifted with the superpower to read people's minds, allowing him to know the true thoughts and feelings of those around him. He is able to pick up on vibes and subtle nuances in a conversation even if they are not stated out loud. This ability gives him a deep understanding of people and empathy, which he uses to help those in need.",stop
